,,,,,,,,Edition : 12/01/2017
Activité et prix des vins sans IG et des vins IGP Blancs,,,,,,,,
,,Vin sans IG,,,Vin IGP,,,Campagnes
Mois,semaine dans la campagne,en milliers d'hl,en euros/hl,en euros/°hl,en milliers d'hl,en euros/hl,en euros/°hl,
,11,7,31.80,2.70,13,54.08,4.27,
,12,20,37.71,3.32,20,59.40,4.74,
,13,10,36.69,3.24,27,60.70,5.00,
Nov 2006,14,20,41.95,3.44,9,62.52,4.97,
,15,45,35.39,3.14,38,59.99,4.85,
,16,25,35.48,3.12,52,67.15,5.36,
,17,54,39.99,3.41,41,61.24,4.91,
Dec 2006,18,26,40.15,3.43,74,64.29,5.16,
,19,72,42.88,3.70,33,62.77,4.96,
,20,21,39.86,3.37,61,62.16,4.97,
,21,16,44.07,3.75,75,61.50,5.01,
,22,21,36.74,3.18,66,63.96,5.22,
Jan 2007,23,27,39.23,3.45,48,67.97,5.47,
,24,71,37.40,3.34,41,61.06,4.77,
,25,30,37.23,3.23,68,63.68,4.99,
,26,36,39.36,3.47,43,63.37,5.02,
Feb 2007,27,10,43.51,3.70,52,60.83,4.78,
,28,23,40.82,3.47,58,57.06,4.65,
,29,13,40.51,3.41,49,66.38,5.20,
,30,17,41.46,3.60,55,59.54,4.83,
Mar 2007,31,14,46.64,3.90,42,64.57,5.13,
,32,37,48.83,4.13,64,64.62,5.13,
,33,25,39.70,3.45,37,62.53,4.98,
,34,10,42.72,3.64,51,58.40,4.79,
,35,17,45.35,3.83,72,59.48,4.93,
Apr 2007,36,16,49.91,4.21,34,63.41,4.98,
,37,7,44.40,3.89,22,61.19,4.81,
,38,10,37.93,3.11,30,61.27,4.76,
,39,14,45.50,3.80,26,60.13,4.73,
May 2007,40,5,45.50,3.32,15,62.47,4.85,
,41,2,36.45,3.03,11,59.04,4.62,
,42,6,43.64,3.59,22,66.70,5.22,
,43,11,60.52,4.82,16,60.86,4.69,
Jun 2007,44,7,42.95,3.55,24,66.91,5.31,
,45,12,37.27,3.08,18,58.66,4.62,
,46,14,65.01,5.40,24,61.41,4.76,
,47,11,42.84,3.65,46,61.22,5.07,
,48,3,32.23,2.69,13,59.86,4.72,
Jul 2007,49,10,50.68,4.14,15,71.10,5.57,
,50,8,35.19,3.04,18,59.16,4.69,
,51,7,38.57,3.29,17,61.28,4.84,
,52,6,41.43,3.20,18,62.15,4.83,
,53,6,58.13,4.70,16,77.31,5.94,
Aug 2007,1,3,38.68,3.39,25,56.05,4.66,2007-2008
,2,5,59.21,4.72,13,61.57,4.78,
,3,ns,ns,ns,5,68.88,5.39,
,4,1,46.79,4.04,11,60.19,4.70,
Sep 2007,5,3,41.28,3.32,9,63.08,4.97,
,6,11,39.54,3.47,8,63.18,4.94,
,7,15,39.50,3.45,12,60.76,4.88,
,8,15,40.67,3.52,11,63.91,5.21,
,9,8,48.73,4.11,9,70.86,5.71,
Oct 2007,10,4,48.01,4.00,6,74.54,5.90,
,11,3,47.20,3.92,15,78.85,6.32,
,12,29,43.88,3.76,13,68.19,5.65,
,13,18,46.22,3.95,14,70.73,5.63,
Nov 2007,14,16,44.36,3.70,66,76.48,6.02,
,15,31,51.72,4.30,28,70.32,5.63,
,16,32,53.94,4.56,57,80.16,6.27,
,17,39,53.62,4.70,50,79.12,6.19,
Dec 2007,18,60,54.07,4.63,114,77.29,6.12,
,19,38,64.08,5.29,105,78.41,6.23,
,20,24,64.40,5.55,61,82.99,6.48,
,21,39,62.00,5.32,73,77.42,6.15,
,22,32,62.15,5.31,23,83.99,6.65,
Jan 2008,23,17,46.06,3.97,41,78.58,6.28,
,24,18,54.87,4.75,90,75.63,6.00,
,25,37,59.08,5.12,146,78.47,6.41,
,26,13,51.79,4.45,72,80.33,6.43,
Feb 2008,27,16,55.19,4.59,86,78.32,6.28,
,28,28,62.23,5.36,128,83.39,6.67,
,29,25,66.96,5.84,38,87.18,6.91,
,30,5,56.93,4.82,27,86.96,6.80,
Mar 2008,31,8,50.25,4.33,35,85.03,6.73,
,32,7,54.92,4.79,24,80.27,6.39,
,33,10,51.71,4.35,31,81.88,6.70,
,34,17,48.56,4.14,21,79.44,6.41,
,35,3,56.20,4.94,25,78.31,6.44,
Apr 2008,36,23,69.21,5.76,33,81.66,6.49,
,37,2,55.03,4.59,21,82.60,6.61,
,38,7,59.49,4.91,15,83.14,6.63,
,39,9,62.75,5.50,17,84.01,6.78,
May 2008,40,2,56.79,4.70,4,95.07,7.60,
,41,3,50.88,4.16,6,84.16,6.59,
,42,3,55.84,4.76,8,85.56,6.73,
,43,3,46.27,3.96,25,77.73,6.44,
Jun 2008,44,1,44.20,3.62,10,91.22,7.18,
,45,4,59.55,5.25,21,83.67,6.87,
,46,6,60.29,5.26,9,88.03,6.88,
,47,4,45.55,3.82,13,75.06,6.15,
,48,5,63.58,5.54,13,83.73,6.76,
Jul 2008,49,2,50.95,4.34,26,78.09,6.47,
,50,11,63.27,5.36,13,79.92,6.49,
,51,3,58.83,4.88,10,74.82,6.15,
,52,9,44.17,3.67,5,80.61,6.46,
Aug 2008,1,5,53.62,4.45,11,141.82,10.92,2008-2009
,2,6,50.27,4.39,12,96.18,7.68,
,3,2,63.48,5.70,7,84.54,6.87,
,4,2,39.45,3.45,4,78.01,6.12,
Sep 2008,5,3,47.65,4.04,7,83.33,6.65,
,6,4,55.00,4.54,5,82.85,6.66,
,7,4,51.59,4.49,17,77.85,6.44,
,8,3,56.05,4.86,10,88.30,7.11,
,9,5,53.59,4.68,6,84.90,6.93,
Oct 2008,10,3,56.45,4.86,6,95.00,7.44,
,11,3,65.95,5.51,6,81.30,6.67,
,12,14,51.65,4.51,9,79.84,6.41,
,13,10,59.91,5.26,7,84.63,6.88,
